当前路径,文件名,扩展名,文件大小,SHA-256,Git最早出现时间,Git最后修改时间,推定游戏年度,推定季度,推定档案类型,推定状态,是否当前权威入口,是否被其他文件引用,是否存在完全重复文件,是否存在近似重复文件,建议未来路径,分类置信度,备注和冲突
data/archive_manifest.json,archive_manifest.json,.json,4406,75e4741f0e89e682ccca47f2271290d0fe50e2660615595143a753d9d7d5d739,2026-07-30T23:40:54-05:00,2026-07-31T22:45:32-07:00,崇祯11年,秋,季度结案/当前快照,当前状态（仓库指针，晚于玩家口述前已过时）,是,是（3）,否,否,data/archive_manifest.json,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | CURRENT_ARCHIVE.md | README.md
data/companies/CZ11-SPRING-FOUR-CORPORATIONS-1.json,CZ11-SPRING-FOUR-CORPORATIONS-1.json,.json,3269,ecfca294c1e49a59ea282eb29738012faefbd94e1c46c7b08b82f703185b4d5e,2026-07-31T08:53:48-07:00,2026-07-31T08:53:48-07:00,崇祯11年,春,跨季度长期制度/名册/数据库,历史状态,否,否,否,否,data/companies/CZ11-SPRING-FOUR-CORPORATIONS-1.json,0.93,
data/companies/CZ11-SUMMER-FOUR-CORPORATIONS-1.json,CZ11-SUMMER-FOUR-CORPORATIONS-1.json,.json,4137,57b2c71e4a5b58274ac0f0b32ba940ee4561197e5eb916b7043b582cf5116f09,2026-07-31T12:28:09-07:00,2026-07-31T13:01:30-07:00,崇祯11年,夏,跨季度长期制度/名册/数据库,历史状态,是,是（4）,否,否,data/companies/CZ11-SUMMER-FOUR-CORPORATIONS-1.json,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | README.md | data/archive_manifest.json
data/companies/CZ11-WINTER-FOUR-CORPORATIONS-1.json,CZ11-WINTER-FOUR-CORPORATIONS-1.json,.json,1367,cdbd9104e61c407e1d32644f20af7508a56d5cc14034008ea25f135b93040466,2026-08-01T00:47:29-07:00,2026-08-01T00:47:29-07:00,崇祯11年,冬,跨季度长期制度/名册/数据库,历史状态,否,是（2）,否,否,data/companies/CZ11-WINTER-FOUR-CORPORATIONS-1.json,0.93,引用示例: data/latest_state.json | data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json
data/current_directives.json,current_directives.json,.json,3401,78a33d24ea7190c6a53b66ddc6dc7ecdf6380a07409af9f7c9395e615a590834,2026-07-31T00:23:43-07:00,2026-07-31T22:33:21-07:00,崇祯11年,秋,季度结案/当前快照,当前状态（仓库指针，晚于玩家口述前已过时）,是,是（4）,否,否,data/current_directives.json,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | CURRENT_ARCHIVE.md | README.md
data/current_snapshot.json,current_snapshot.json,.json,2802,9efd05dd1c79ad32813d9747667bc00ee0b6a790c3708309cf658fbc57905bff,2026-07-30T22:42:49-07:00,2026-08-01T00:46:09-07:00,崇祯11年,秋,季度结案/当前快照,当前状态（仓库指针，晚于玩家口述前已过时）,是,是（8）,否,否,data/current_snapshot.json,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | CURRENT_ARCHIVE.md | README.md
data/edicts.json,edicts.json,.json,327857,5176ad01fc6e8b2c7178626be4fe503cfa71baee1025cb26676d0eb6c8dfba5d,2026-07-30T15:11:05-05:00,2026-07-30T23:40:54-05:00,崇祯1年,春,跨季度长期制度/名册/数据库,历史状态,否,是（10）,否,否,data/edicts.json,0.86,引用示例: main.py | modules/ai_analysis.py | modules/database.py
data/edicts/崇祯10年冬迁民开厂富民增税安业续制诏.json,崇祯10年冬迁民开厂富民增税安业续制诏.json,.json,6847,79709ef5c9aaea399e46b49ff044626cb60eb63fd12798f9e89841872acd8198,2026-07-31T05:59:36-07:00,2026-07-31T05:59:36-07:00,崇祯10年,冬,正式提交诏书,正式提交（结构化记录推定）,否,否,否,否,data/edicts/崇祯10年冬迁民开厂富民增税安业续制诏.json,0.90,
data/edicts/崇祯10年夏精袭辽阳毁粮练军续制验实诏.json,崇祯10年夏精袭辽阳毁粮练军续制验实诏.json,.json,6171,891335f64863a218c116da3913eba96301a77f85881aba028eb4bac32d8fde6b,2026-07-31T02:29:11-07:00,2026-07-31T02:29:11-07:00,崇祯10年,夏,正式提交诏书,正式提交（结构化记录推定）,否,否,否,否,data/edicts/崇祯10年夏精袭辽阳毁粮练军续制验实诏.json,0.90,
data/edicts/崇祯10年春竞贸购种兴农安秦续制固藩诏.json,崇祯10年春竞贸购种兴农安秦续制固藩诏.json,.json,5986,6b5590f0e87609139e005ef0806dbfb68dabd327d45ba06084fbab66e15a1cc2,2026-07-31T02:05:42-07:00,2026-07-31T02:25:41-07:00,崇祯10年,春,正式提交诏书,正式提交（结构化记录推定）,否,否,否,否,data/edicts/崇祯10年春竞贸购种兴农安秦续制固藩诏.json,0.90,
data/edicts/崇祯10年秋袭马断粮开厂垦田移民增税诏.json,崇祯10年秋袭马断粮开厂垦田移民增税诏.json,.json,4252,e4b2e4a1ff1f763118651da990ba9e4d9fafd77aa684e12455ca3a19dc13f511,2026-07-31T03:46:36-07:00,2026-07-31T04:48:44-07:00,崇祯10年,秋,正式提交诏书,正式提交（结构化记录推定）,否,否,否,否,data/edicts/崇祯10年秋袭马断粮开厂垦田移民增税诏.json,0.90,
data/edicts/崇祯11年冬刷新军建足械兴商裕民收官诏.json,崇祯11年冬刷新军建足械兴商裕民收官诏.json,.json,6794,eeb547325ec62a68880bad9f6dd4638609078385010b16c5fa22ec55fd6a1909,2026-08-01T00:43:20-07:00,2026-08-01T00:43:20-07:00,崇祯11年,冬,正式提交诏书,正式提交（结构化记录推定）,否,是（3）,否,否,data/edicts/崇祯11年冬刷新军建足械兴商裕民收官诏.json,0.90,引用示例: data/current_snapshot.json | data/latest_state.json | data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json
data/edicts/崇祯11年夏核阶足饷实屯练军兴社续制诏.json,崇祯11年夏核阶足饷实屯练军兴社续制诏.json,.json,4164,45bf31acaf92561e61799608958dd3ce84909c864b5bf2a5032302607555911d,2026-07-31T11:56:36-07:00,2026-07-31T12:33:40-07:00,崇祯11年,夏,正式提交诏书,正式提交（结构化记录推定）,否,否,否,否,data/edicts/崇祯11年夏核阶足饷实屯练军兴社续制诏.json,0.90,
data/edicts/崇祯11年春定部考官兴业通货改军御敌验收诏.json,崇祯11年春定部考官兴业通货改军御敌验收诏.json,.json,4514,732fb1b5f78a6d5d0ac1bec7b4a5989bb242488be700e1fd65b3413d12dc8081,2026-07-31T07:21:56-07:00,2026-07-31T08:56:31-07:00,崇祯11年,春,正式提交诏书,正式提交（结构化记录推定）,否,否,否,否,data/edicts/崇祯11年春定部考官兴业通货改军御敌验收诏.json,0.90,
data/edicts/崇祯11年秋补枢实军兴工通海固本中兴诏.json,崇祯11年秋补枢实军兴工通海固本中兴诏.json,.json,8484,e2fec954898b9a33bc17cf61896c026dfef45ed2376b1047a99a09759ce729e9,2026-07-31T22:24:48-07:00,2026-07-31T22:24:48-07:00,崇祯11年,秋,正式提交诏书,正式提交（结构化记录推定）,是,是（3）,否,否,data/edicts/崇祯11年秋补枢实军兴工通海固本中兴诏.json,0.90,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json | data/strategy/崇祯11年秋中兴收官执行计划.json
data/edicts/崇祯9年冬定职清费援朝固藩安民续制诏.json,崇祯9年冬定职清费援朝固藩安民续制诏.json,.json,5241,2da67b55c99c15539d4e3de09fcb9a1f582cfc18ed625da3a3cbfee3e125bd4b,2026-07-31T01:02:28-07:00,2026-07-31T01:02:28-07:00,崇祯9年,冬,正式提交诏书,正式提交（结构化记录推定）,否,否,否,否,data/edicts/崇祯9年冬定职清费援朝固藩安民续制诏.json,0.90,
data/edicts/崇祯9年秋三层军制核兵练军补给扩械防疫诏.json,崇祯9年秋三层军制核兵练军补给扩械防疫诏.json,.json,3380,80dbba0c8c8e09137cc3c3fb819f4ef54cb9b1d09c33a27096e02d8899ea9855,2026-07-30T23:20:01-07:00,2026-07-30T23:20:01-07:00,崇祯9年,秋,正式提交诏书,正式提交（结构化记录推定）,否,否,否,否,data/edicts/崇祯9年秋三层军制核兵练军补给扩械防疫诏.json,0.90,
data/game_state.json,game_state.json,.json,33393,6a699d9c3441dce0535b54b0732db87c43aa6f0e9fb48adbd935a4540fc6f685,2026-07-30T15:11:05-05:00,2026-07-30T23:40:54-05:00,崇祯9年,春,季度结案/当前快照,当前状态（仓库指针，晚于玩家口述前已过时）,否,是（9）,否,否,data/game_state.json,0.99,引用示例: AGENTS.md | README.md | modules/database.py
data/history/CZ10-AUTUMN-EXEC-1.json,CZ10-AUTUMN-EXEC-1.json,.json,3397,b937d154e24e153e67050cdc8e3148b4e6d4de837cc97c78322cbc5f5a77665f,2026-07-31T04:47:37-07:00,2026-07-31T04:47:37-07:00,崇祯10年,秋,游戏AI推演结果/朝政纪要,已执行结果,否,否,否,否,data/history/CZ10-AUTUMN-EXEC-1.json,0.97,
data/history/CZ10-SPRING-EXEC-1.json,CZ10-SPRING-EXEC-1.json,.json,2765,33da628ccdc795ad31bc0b4c9e7bf4c8d44777f18b1d557466d6726182ec2f59,2026-07-31T02:15:41-07:00,2026-07-31T02:15:41-07:00,崇祯10年,春,游戏AI推演结果/朝政纪要,已执行结果,否,否,否,否,data/history/CZ10-SPRING-EXEC-1.json,0.97,
data/history/CZ10-SUMMER-EXEC-1.json,CZ10-SUMMER-EXEC-1.json,.json,4099,c1640f416759775c8e64afe07fd18772ed0a40a076114edb5f61baae6efba6f2,2026-07-31T02:52:33-07:00,2026-07-31T02:52:33-07:00,崇祯10年,夏,游戏AI推演结果/朝政纪要,已执行结果,否,否,否,否,data/history/CZ10-SUMMER-EXEC-1.json,0.97,
data/history/CZ11-AUTUMN-EXEC-1.json,CZ11-AUTUMN-EXEC-1.json,.json,1812,4734ca85381e30d43759c29a8cf5ad6ceabf135433cb4880621d68e602e0b471,2026-08-01T00:33:55-07:00,2026-08-01T00:33:55-07:00,崇祯11年,秋,游戏AI推演结果/朝政纪要,已执行结果,否,是（4）,否,否,data/history/CZ11-AUTUMN-EXEC-1.json,0.97,引用示例: data/current_snapshot.json | data/edicts/崇祯11年冬刷新军建足械兴商裕民收官诏.json | data/latest_state.json
data/history/CZ11-SPRING-EXEC-1.json,CZ11-SPRING-EXEC-1.json,.json,4605,51cc8af6e3235f2c5a842d76e6bd75b03ecf8b8546691e2f9733d2eedfd5ffdf,2026-07-31T08:55:00-07:00,2026-07-31T08:55:00-07:00,崇祯11年,春,游戏AI推演结果/朝政纪要,已执行结果,否,否,否,否,data/history/CZ11-SPRING-EXEC-1.json,0.97,
data/history/CZ11-SUMMER-EXEC-1.json,CZ11-SUMMER-EXEC-1.json,.json,4668,b285f1686283a0d50fad12f48e772227aee38f2a9c2c979959053fbb96e5ea25,2026-07-31T12:25:07-07:00,2026-07-31T12:25:07-07:00,崇祯11年,夏,游戏AI推演结果/朝政纪要,已执行结果,是,是（1）,否,否,data/history/CZ11-SUMMER-EXEC-1.json,0.97,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: data/archive_manifest.json
data/history/CZ9-WINTER-EXEC-1.json,CZ9-WINTER-EXEC-1.json,.json,1653,838bf6fcd25f4d4662fb32599a2141588062e0d7db6bc027f6ffc55dab2062f4,2026-07-31T01:11:07-07:00,2026-07-31T01:11:07-07:00,崇祯9年,冬,游戏AI推演结果/朝政纪要,已执行结果,否,否,否,否,data/history/CZ9-WINTER-EXEC-1.json,0.97,
data/history_records.json,history_records.json,.json,70562,e34cc60243a730fb155fa03e288636022d007233cf3f62cec2bd61eb58dc5459,2026-07-30T15:11:05-05:00,2026-07-30T23:40:54-05:00,崇祯1年,春,跨季度长期制度/名册/数据库,历史状态,否,是（13）,否,否,data/history_records.json,0.86,引用示例: main.py | modules/ai_analysis.py | modules/database.py
data/infrastructure/CZ11-AUTUMN-INFRA-26-1.json,CZ11-AUTUMN-INFRA-26-1.json,.json,11054,81ea1e24edced6f1fc74a814182aaa22ee9c11ce09e95fae7b03f39faad3d868,2026-07-31T22:29:32-07:00,2026-07-31T22:29:32-07:00,崇祯11年,秋,跨季度长期制度/名册/数据库,历史状态,是,是（5）,否,否,data/infrastructure/CZ11-AUTUMN-INFRA-26-1.json,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json | data/strategy/CZ11-AUTUMN-NATIONAL-POLICY-1.json
data/infrastructure/CZ11-AUTUMN-TWO_CAPITALS_THIRTEEN_PROVINCES-BUILDING-1.json,CZ11-AUTUMN-TWO_CAPITALS_THIRTEEN_PROVINCES-BUILDING-1.json,.json,973,e8cc3aaec63d9955a31b4e9bd0b7a612e0e92b436e6b04f65cb04ee02a0585bf,2026-07-31T22:15:23-07:00,2026-07-31T22:15:23-07:00,崇祯11年,秋,跨季度长期制度/名册/数据库,历史状态,否,否,否,否,data/infrastructure/CZ11-AUTUMN-TWO_CAPITALS_THIRTEEN_PROVINCES-BUILDING-1.json,0.93,
data/infrastructure/CZ11-WINTER-INFRASTRUCTURE-PANEL-1.json,CZ11-WINTER-INFRASTRUCTURE-PANEL-1.json,.json,4606,d25e579b5b0b9320a1d1fe1b9cf87a5811d0b30eb636ebb829d77d6fa1707c08,2026-08-01T00:45:11-07:00,2026-08-01T00:45:11-07:00,崇祯11年,冬,跨季度长期制度/名册/数据库,历史状态,否,是（3）,否,否,data/infrastructure/CZ11-WINTER-INFRASTRUCTURE-PANEL-1.json,0.93,引用示例: data/current_snapshot.json | data/latest_state.json | data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json
data/intelligence.json,intelligence.json,.json,80010,fb54ab1d429cd800ea12c6a8b6a76d8003cf2862fa62729f7d6025f3632fc9be,2026-07-30T15:11:05-05:00,2026-07-30T23:40:54-05:00,天启7年,冬,跨季度长期制度/名册/数据库,历史状态,否,是（12）,否,否,data/intelligence.json,0.86,引用示例: main.py | modules/ai_analysis.py | modules/database.py
data/intelligence/CZ11-SUMMER-INTELLIGENCE-ROSTER-1.json,CZ11-SUMMER-INTELLIGENCE-ROSTER-1.json,.json,5176,bbd8f08cfe000669a0f9c8b2a536f7a04a64b2157eaf4b2f5c0a99bfe0b48ecd,2026-07-31T12:55:55-07:00,2026-07-31T12:55:55-07:00,崇祯11年,夏,跨季度长期制度/名册/数据库,历史状态,是,是（6）,否,否,data/intelligence/CZ11-SUMMER-INTELLIGENCE-ROSTER-1.json,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | README.md | data/appointments/CZ11-SUMMER-NATIONAL-OFFICIAL-ROSTER-1.json
data/latest_state.json,latest_state.json,.json,2917,bc9c283e7d360bf16d4b457eb41ef0051042a9af6b2f69be9cdc71ee373a0352,2026-07-31T06:00:37-07:00,2026-08-01T00:48:14-07:00,崇祯11年,秋,季度结案/当前快照,当前状态（仓库指针，晚于玩家口述前已过时）,是,是（3）,否,否,data/latest_state.json,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json | data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json
data/military/CZ11-AUTUMN-ARMY-REFORM-1.json,CZ11-AUTUMN-ARMY-REFORM-1.json,.json,797,e980026da4c256cd5c82d9c4609e99a5bd22f6536f779f4d0ae0cd7863fbac2a,2026-07-31T22:15:16-07:00,2026-07-31T22:15:16-07:00,崇祯11年,秋,跨季度长期制度/名册/数据库,历史状态,否,否,否,否,data/military/CZ11-AUTUMN-ARMY-REFORM-1.json,0.93,
data/military/CZ11-AUTUMN-THREE-ARMIES-140K-PLAN-1.json,CZ11-AUTUMN-THREE-ARMIES-140K-PLAN-1.json,.json,7601,946e2715f04ad2dc567d619876f8d3a142d8c9b9ce3467d56ac02ed3569cfb77,2026-07-31T22:27:08-07:00,2026-07-31T22:27:08-07:00,崇祯11年,秋,跨季度长期制度/名册/数据库,历史状态,是,是（5）,否,否,data/military/CZ11-AUTUMN-THREE-ARMIES-140K-PLAN-1.json,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json | data/strategy/CZ11-AUTUMN-NATIONAL-POLICY-1.json
data/military/CZ11-NINE-RANKS-ACADEMY-CHARTER-2.json,CZ11-NINE-RANKS-ACADEMY-CHARTER-2.json,.json,4184,f63ffd9dcd3a5d25cdbccf6f703988d3d5ca5c2e60ef2c6730e107d28f2ac968,2026-07-31T22:27:47-07:00,2026-07-31T22:27:47-07:00,崇祯11年,秋,跨季度长期制度/名册/数据库,历史状态,是,是（5）,否,否,data/military/CZ11-NINE-RANKS-ACADEMY-CHARTER-2.json,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: CURRENT_ARCHIVE.md | data/archive_manifest.json | data/strategy/CZ11-AUTUMN-NATIONAL-POLICY-1.json
data/military/CZ11-SPRING-THREE-ARMIES-NINE-CORPS-1.json,CZ11-SPRING-THREE-ARMIES-NINE-CORPS-1.json,.json,5942,e0f077b83643a17f972c63b4b84f244be36d63ca116212ec4ac858c163f3b6b7,2026-07-31T08:52:39-07:00,2026-07-31T08:52:39-07:00,崇祯11年,春,跨季度长期制度/名册/数据库,历史状态,否,否,否,否,data/military/CZ11-SPRING-THREE-ARMIES-NINE-CORPS-1.json,0.93,
data/military/CZ11-SUMMER-LOCAL-MILITARY-ROSTER-1.json,CZ11-SUMMER-LOCAL-MILITARY-ROSTER-1.json,.json,7409,cc066bfd0b1c563c558e993128d9b2b42b07ff2bd9b87826c644d7a2eb623a39,2026-07-31T12:56:49-07:00,2026-07-31T12:56:49-07:00,崇祯11年,夏,跨季度长期制度/名册/数据库,历史状态,是,是（7）,否,否,data/military/CZ11-SUMMER-LOCAL-MILITARY-ROSTER-1.json,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | README.md | data/appointments/CZ11-SUMMER-NATIONAL-OFFICIAL-ROSTER-1.json
data/military/CZ11-SUMMER-MILITARY-1.json,CZ11-SUMMER-MILITARY-1.json,.json,9077,bb8c0b8a8d9f71218e6a86a2430a016f3f9642aa73255e400f81a1d23a21df22,2026-07-31T12:25:57-07:00,2026-07-31T13:00:54-07:00,崇祯11年,夏,跨季度长期制度/名册/数据库,历史状态,是,是（5）,否,否,data/military/CZ11-SUMMER-MILITARY-1.json,0.93,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | README.md | data/archive_manifest.json
data/military/CZ11-WINTER-THREE-ARMIES-EQUIPMENT-1.json,CZ11-WINTER-THREE-ARMIES-EQUIPMENT-1.json,.json,3153,b989d7a389175d335e67e2c4e57bfbd7dce7d56c122c86084650b08073be0755,2026-08-01T00:44:42-07:00,2026-08-01T00:44:42-07:00,崇祯11年,冬,跨季度长期制度/名册/数据库,历史状态,否,是（3）,否,否,data/military/CZ11-WINTER-THREE-ARMIES-EQUIPMENT-1.json,0.93,引用示例: data/current_snapshot.json | data/latest_state.json | data/strategy/崇祯11年冬五基稳国与军械建筑面板同步收官计划.json
data/personal_notes.json,personal_notes.json,.json,55773,d925d043820f57f1c9161e639463278ad242719ab60c5d19d992c122bcfdd424,2026-07-30T15:11:05-05:00,2026-07-30T15:11:05-05:00,,,跨季度长期制度/名册/数据库,历史状态,否,是（3）,否,否,data/personal_notes.json,0.86,引用示例: modules/database.py | web_app.py | 大明档案/战略方略/崇祯二年春辽东均衡战略与东江五策综合参谋文稿.md
data/personnel.json,personnel.json,.json,79646,73876f43d91014105c68025bd70c6c6c5192df9b734be12472402fc665ca484c,2026-07-30T15:11:05-05:00,2026-07-30T23:40:54-05:00,崇祯4年,春,跨季度长期制度/名册/数据库,历史状态,否,是（16）,否,否,data/personnel.json,0.86,引用示例: AGENTS.md | README.md | modules/ai_analysis.py
data/personnel_current.json,personnel_current.json,.json,3037,696c7ddd4f2e4595cefc75521e656db582284a8293e0854f81d33c0d9c28b239,2026-07-31T01:05:28-07:00,2026-08-01T00:45:44-07:00,崇祯11年,秋,季度结案/当前快照,当前状态（仓库指针，晚于玩家口述前已过时）,是,是（7）,否,否,data/personnel_current.json,0.99,仓库基线权威入口；其时间指针与玩家确认的12年春冲突；引用示例: AGENTS.md | CURRENT_ARCHIVE.md | README.md
data/policies/CZ11-SUMMER-LOCAL-POLICIES-1.json,CZ11-SUMMER-LOCAL-POLICIES-1.json,.json,5542,790a291483fc7e9a832423608fc0ba9d2de01642d1697f2a1f371abffaf34383,2026-07-31T12:27:40-07:00,2026-07-31T12:27:40-07:00,崇祯11年,夏,跨季度长期制度/名册/数据库,历史状态,否,是（2）,否,否,data/policies/CZ11-SUMMER-LOCAL-POLICIES-1.json,0.93,引用示例: AGENTS.md | README.md
data/province_panels/CZ10-AUTUMN-PROVINCES-1.json,CZ10-AUTUMN-PROVINCES-1.json,.json,2088,5d451ee979b5e00f024c3236a9cedaae9623f42c9d781486d2f2599c605d747f,2026-07-31T04:45:36-07:00,2026-07-31T04:45:36-07:00,崇祯10年,秋,跨季度长期制度/名册/数据库,历史状态,否,否,否,否,data/province_panels/CZ10-AUTUMN-PROVINCES-1.json,0.93,
data/province_panels/CZ10-SUMMER-PROVINCES-1.json,CZ10-SUMMER-PROVINCES-1.json,.json,7071,4f3ce3c7747e86093ce580d076b73668c727f10809701d0f4067c8df89b31bbf,2026-07-31T03:16:50-07:00,2026-07-31T03:18:31-07:00,崇祯10年,夏,跨季度长期制度/名册/数据库,历史状态,否,是（2）,否,否,data/province_panels/CZ10-SUMMER-PROVINCES-1.json,0.93,引用示例: data/province_panels/CZ10-AUTUMN-PROVINCES-1.json | 大明档案/国家态势/崇祯10年夏季各省民心动乱财税面板补录.md
data/province_panels/CZ11-SPRING-PROVINCES-1.json,CZ11-SPRING-PROVINCES-1.json,.json,2441,cee447380f69405d5f4dd658de3acaa453bb3e7886052a7201b5e85d90bd18ba,2026-07-31T08:54:19-07:00,2026-07-31T08:54:19-07:00,崇祯11年,春,跨季度长期制度/名册/数据库,历史状态,否,否,否,否,data/province_panels/CZ11-SPRING-PROVINCES-1.json,0.93,
data/province_panels/CZ11-SUMMER-PROVINCES-1.json,CZ11-SUMMER-PROVINCES-1.json,.json,2484,470d51acad853873ea39de025265df6ff55d25d0326f63864d733710b8571b5e,2026-07-31T12:28:35-07:00,2026-07-31T12:28:35-07:00,崇祯11年,夏,跨季度长期制度/名册/数据库,历史状态,否,是（2）,否,否,data/province_panels/CZ11-SUMMER-PROVINCES-1.json,0.93,引用示例: AGENTS.md | README.md
