游戏年度,季度,御前密谈,正式诏书,实际提交版本可确认,游戏推演结果,朝政纪要,季度结案,季度快照,人事快照,军队快照,地方面板,财政对账,未结任务,计划与实际混淆风险,多个冲突版本,文件总数,备注
崇祯9年,秋,是,是,待玩家确认,否,否,否,否,否,否,否,否,是,是,是,6,
崇祯9年,冬,是,是,待玩家确认,是,是,是,是,是,是,是,是,是,是,是,13,崇祯九年冬季朝政纪要——五股全销民变息，援朝固藩海路通.md
崇祯10年,春,否,是,待玩家确认,是,是,是,是,是,是,是,是,是,是,是,12,崇祯十年春季朝政纪要——春耕安民归屯三环并举，朝鲜称臣皮岛受创.md
崇祯10年,夏,否,是,待玩家确认,是,是,是,是,是,是,是,是,是,是,是,13,崇祯十年夏季朝政纪要——辽阳焚粮振军威，京西投产百工兴.md
崇祯10年,秋,否,是,待玩家确认,是,是,是,是,是,是,是,是,是,是,是,16,崇祯十年秋季朝政纪要——铁岭夜袭夺马断粮，十五厂开垦移民并举，燧发枪厂动工，大赏九十二万两收服人心.md
崇祯10年,冬,否,是,待玩家确认,否,否,否,否,否,否,否,否,是,是,是,3,
崇祯11年,春,否,是,待玩家确认,是,是,是,是,是,是,是,是,是,是,是,19,崇祯十一年春季朝政纪要——三军九团定国本，四社开张振百工.md
崇祯11年,夏,否,是,待玩家确认,是,是,是,是,是,是,是,是,是,是,是,26,崇祯十一年夏季朝政纪要——首辅薨逝财政虚，三路奇袭辽东惊.md
崇祯11年,秋,否,是,待玩家确认,是,否,否,是,是,是,是,否,是,是,是,23,仓库已有秋季结果与冬季计划，但CURRENT_ARCHIVE仍停秋季计划；CZ11-AUTUMN-EXEC-1.json
崇祯11年,冬,否,是,待玩家确认,否,否,否,否,否,是,是,否,是,是,是,7,仓库有正式冬诏与面板计划，无冬季游戏结果；同步前本地备份另有冬季纪要
崇祯12年,春,否,否,否,否,否,否,否,否,否,否,否,否,未检出,否,0,仅玩家口述确认执行中；仓库无正式密谈、诏书或结果
